Rank,Player Name,Team,Position,Adjusted Value,Projected Points,Value,,,,,,,,,,,,,
1,Patrick Mahomes II,KC,QB,$35,408.2,$30,,,,,,,,,,,1,Justin Jefferson,MIN
2,Josh Allen,BUF,QB,$29,412,$29,,,,,,,,,,,2,Ja'Marr Chase,CIN
3,Jalen Hurts,PHI,QB,$26,398.9,$28,,,,,,,,,,,3,Cooper Kupp,LAR
4,Lamar Jackson,BAL,QB,$23,350.4,$20,,,,,,,,,,,4,Tyreek Hill,MIA
5,Joe Burrow,CIN,QB,$22,348.2,$20,,,,,,,,,,,5,CeeDee Lamb,DAL
6,Justin Fields,CHI,QB,$20,339.8,$12,,,,,,,,,,,6,Stefon Diggs,BUF
7,Justin Herbert,LAC,QB,$19,351.7,$11,,,,,,,,,,,7,Davante Adams,LV
8,Deshaun Watson,CLE,QB,$18,327.9,$9,,,,,,,,,,,8,Amon-Ra St. Brown,DET
9,Trevor Lawrence,JAC,QB,$17,320.7,$5,,,,,,,,,,,9,A.J. Brown,PHI
10,Kirk Cousins,MIN,QB,$16,301.6,$5,,,,,,,,,,,10,Jaylen Waddle,MIA
11,Dak Prescott,DAL,QB,$15,308.6,$5,,,,,,,,,,,11,Garrett Wilson,NYJ
12,Daniel Jones,NYG,QB,$14,288.3,$4,,,,,,,,,,,12,Tee Higgins,CIN
13,Geno Smith,SEA,QB,$13,309.8,$4,,,,,,,,,,,13,Chris Olave,NO
14,Aaron Rodgers,NYJ,QB,$12,299.8,$2,,,,,,,,,,,14,DK Metcalf,SEA
15,Russell Wilson,DEN,QB,$11,309.5,$1,,,,,,,,,,,15,DeVonta Smith,PHI
16,Jared Goff,DET,QB,$11,278.5,$1,,,,,,,,,,,16,Keenan Allen,LAC
17,Tua Tagovailoa,MIA,QB,$10,298.6,$0,,,,,,,,,,,17,Calvin Ridley,JAC
18,Anthony Richardson,IND,QB,$9,285.8,$0,,,,,,,,,,,18,Deebo Samuel,SF
19,Derek Carr,NO,QB,$8,278.2,$0,,,,,,,,,,,19,Amari Cooper,CLE
20,Kenny Pickett,PIT,QB,$7,267.3,$0,,,,,,,,,,,20,Christian Watson,GB
21,Jordan Love,GB,QB,$6,258.6,$0,,,,,,,,,,,21,Jerry Jeudy,DEN
22,Matthew Stafford,LAR,QB,$5,266.9,$0,,,,,,,,,,,22,Chris Godwin,TB
23,Bryce Young,CAR,QB,$4,248.7,$0,,,,,,,,,,,23,Terry McLaurin,WAS
24,Brock Purdy,SF,QB,$3,262.2,$0,,,,,,,,,,,24,DeAndre Hopkins,TEN
25,Jimmy Garoppolo,LV,QB,$2,252.4,$0,,,,,,,,,,,25,Mike Williams,LAC
26,C.J. Stroud,HOU,QB,$1,233.1,$0,,,,,,,,,,,26,Mike Evans,TB
27,Mac Jones,NE,QB,$1,227.2,$0,,,,,,,,,,,27,DJ Moore,CHI
28,Ryan Tannehill,TEN,QB,$1,262.4,$0,,,,,,,,,,,28,Christian Kirk,JAC
29,Kyler Murray,ARI,QB,$2,217,$0,,,,,,,,,,,29,Diontae Johnson,PIT
30,Sam Howell,WAS,QB,$1,229.8,$0,,,,,,,,,,,30,Drake London,ATL
31,Desmond Ridder,ATL,QB,$1,214.1,$0,,,,,,,,,,,31,Marquise Brown,ARI
32,Baker Mayfield,TB,QB,$1,242.6,$0,,,,,,,,,,,32,Tyler Lockett,SEA
1,Christian McCaffrey,SF,RB,$51,310.9,$50,,,,,,,,,,,33,Brandon Aiyuk,SF
2,Austin Ekeler,LAC,RB,$48,305.9,$47,,,,,,,,,,,34,Michael Pittman Jr.,IND
3,Bijan Robinson,ATL,RB,$40,258.4,$39,,,,,,,,,,,35,Jahan Dotson,WAS
4,Saquon Barkley,NYG,RB,$34,274.9,$33,,,,,,,,,,,36,JuJu Smith-Schuster,NE
5,Josh Jacobs,LV,RB,$34,219.3,$33,,,,,,,,,,,37,George Pickens,PIT
6,Tony Pollard,DAL,RB,$32,249.6,$31,,,,,,,,,,,38,Brandin Cooks,DAL
7,Derrick Henry,TEN,RB,$31,261.2,$30,,,,,,,,,,,39,Jordan Addison,MIN
8,Nick Chubb,CLE,RB,$31,256,$30,,,,,,,,,,,40,Michael Thomas,NO
9,Joe Mixon,CIN,RB,$30,237.3,$29,,,,,,,,,,,41,Gabe Davis,BUF
10,Rhamondre Stevenson,NE,RB,$30,239.5,$29,,,,,,,,,,,42,Treylon Burks,TEN
11,Aaron Jones,GB,RB,$28,223.5,$27,,,,,,,,,,,43,Jaxon Smith-Njigba,SEA
12,Jonathan Taylor,IND,RB,$26,222.3,$25,,,,,,,,,,,44,Courtland Sutton,DEN
13,Najee Harris,PIT,RB,$23,248,$22,,,,,,,,,,,45,Jakobi Meyers,LV
14,Travis Etienne Jr.,JAC,RB,$20,219.6,$19,,,,,,,,,,,46,Zay Flowers,BAL
15,James Conner,ARI,RB,$18,208.1,$17,,,,,,,,,,,47,Nico Collins,HOU
16,Alexander Mattison,MIN,RB,$17,182.5,$16,,,,,,,,,,,48,Rondale Moore,ARI
17,Jahmyr Gibbs,DET,RB,$17,239.1,$16,,,,,,,,,,,49,Tyler Boyd,CIN
18,Kenneth Walker,SEA,RB,$16,211.8,$15,,,,,,,,,,,50,Kadarius Toney,KC
19,Rachaad White,TB,RB,$15,196.3,$14,,,,,,,,,,,51,Zay Jones,JAC
20,Breece Hall,NYJ,RB,$15,242.7,$14,,,,,,,,,,,52,Odell Beckham Jr.,BAL
21,Dameon Pierce,HOU,RB,$15,205,$14,,,,,,,,,,,53,Darnell Mooney,CHI
22,Miles Sanders,CAR,RB,$13,211,$12,,,,,,,,,,,54,Adam Thielen,CAR
23,Alvin Kamara,NOS,RB,$12,146.3,$11,,,,,,,,,,,55,Allen Lazard,NYJ
24,David Montgomery,DET,RB,$11,209.1,$10,,,,,,,,,,,56,Michael Gallup,DAL
25,Isiah Pacheco,KC,RB,$11,166.2,$10,,,,,,,,,,,57,Quentin Johnston,LAC
26,J.K. Dobbins,BAL,RB,$11,192.2,$10,,,,,,,,,,,58,Romeo Doubs,GB
27,Cam Akers,LAR,RB,$11,197,$10,,,,,,,,,,,59,Hunter Renfrow,LV
28,Javonte Williams,DEN,RB,$10,185.7,$9,,,,,,,,,,,60,DJ Chark Jr.,CAR
29,D'Andre Swift,PHI,RB,$10,186.5,$9,,,,,,,,,,,61,Skyy Moore,KC
30,James Cook,BUF,RB,$9,173.7,$8,,,,,,,,,,,62,M. Valdes-scantling,KC
31,AJ Dillon,GB,RB,$8,165.7,$7,,,,,,,,,,,63,DeVante Parker,NE
32,Antonio Gibson,WAS,RB,$7,176,$6,,,,,,,,,,,64,Jonathan Mingo,CAR
33,Dalvin Cook,NYJ,RB,$7,197.4,$6,,,,,,,,,,,65,Curtis Samuel,WAS
34,Brian Robinson,WAS,RB,$6,148.1,$5,,,,,,,,,,,66,K.J. Osborn,MIN
35,Samaje Perine,DEN,RB,$6,162.8,$5,,,,,,,,,,,67,Jayden Reed,GB
36,Khalil Herbert,CHI,RB,$5,143.4,$4,,,,,,,,,,,68,Elijah Moore,CLE
37,Jeff Wilson,MIA,RB,$5,130.3,$4,,,,,,,,,,,69,D. Peoples-jones,CLE
38,Rashaad Penny,PHI,RB,$4,112.4,$3,,,,,,,,,,,70,Van Jefferson,LAR
39,Raheem Mostert,MIA,RB,$4,96.7,$3,,,,,,,,,,,71,Isaiah Hodgins,NYG
40,Jerick McKinnon,KC,RB,$4,102.7,$3,,,,,,,,,,,72,Russell Gage,TB
41,Jamaal Williams,NO,RB,$4,130.5,$3,,,,,,,,,,,73,Robert Woods,HOU
42,Elijah Mitchell,SF,RB,$3,132.3,$2,,,,,,,,,,,74,Jameson Williams,DET
43,Damien Harris,BUF,RB,$3,132,$2,,,,,,,,,,,75,Rashod Bateman,BAL
44,Devin Singletary,HOU,RB,$3,127.6,$2,,,,,,,,,,,76,John Metchie III,HOU
45,Tyler Allgeier,ATL,RB,$2,124.6,$1,,,,,,,,,,,77,Rashid Shaheed,NO
46,Chuba Hubbard,CAR,RB,$2,132.3,$1,,,,,,,,,,,78,Alec Pierce,IND
47,Jaylen Warren,PIT,RB,$2,131.5,$1,,,,,,,,,,,79,Mack Hollins,ATL
48,Zach Charbonnet,SEA,RB,$1,141.1,$0,,,,,,,,,,,80,Marvin Jones Jr.,DET
49,Devon Achane,MIA,RB,$1,147.2,$0,,,,,,,,,,,81,Mecole Hardman Jr.,NYJ
50,Ezekiel Elliott,NE,RB,$1,122.6,$0,,,,,,,,,,,82,Chase Claypool,CHI
51,Leonard Fournette,FA,RB,$1,136.4,$0,,,,,,,,,,,83,Allen Robinson II,PIT
52,D'Onta Foreman,CHI,RB,$1,64.1,$0,,,,,,,,,,,84,Corey Davis,NYJ
53,Kenneth Gainwell,PHI,RB,$1,96.8,$0,,,,,,,,,,,85,Darius Slayton,NYG
54,Chase Edmonds,TB,RB,$1,103.3,$0,,,,,,,,,,,86,Parris Campbell,NYG
55,Tank Bigsby,JAC,RB,$1,94.8,$0,,,,,,,,,,,87,Rashee Rice,KC
56,Gus Edwards,BAL,RB,$1,59.2,$0,,,,,,,,,,,88,Joshua Palmer,LAC
57,Cordarrelle Patterson,ATL,RB,$1,90.1,$0,,,,,,,,,,,89,Khalil Shakir,BUF
58,Roschon Johnson,CHI,RB,$1,128.6,$0,,,,,,,,,,,90,Wan'Dale Robinson,NYG
59,Michael Carter,NYJ,RB,$1,104.1,$0,,,,,,,,,,,91,Tyquan Thornton,NE
60,Joshua Kelley,LAC,RB,$1,90,$0,,,,,,,,,,,92,Kendrick Bourne,NE
61,Kendre Miller,NO,RB,$1,78.2,$0,,,,,,,,,,,93,Greg Dortch,ARI
62,Tyjae Spears,TEN,RB,$1,111.5,$0,,,,,,,,,,,94,Ben Skowronek,LAR
63,Chase Brown,CIN,RB,$1,64.4,$0,,,,,,,,,,,95,Ty Montgomery,NE
64,Ty Chandler,MIN,RB,$1,95.6,$0,,,,,,,,,,,96,Josh Reynolds,DET
1,Justin Jefferson,MIN,WR,$57,350.2,$56,,,,,,,,,,,97,N. Westbrook-ikhine,TEN
2,Ja'Marr Chase,CIN,WR,$54,340.5,$53,,,,,,,,,,,98,Michael Wilson,ARI
3,Tyreek Hill,MIA,WR,$52,333.9,$51,,,,,,,,,,,99,Jalin Hyatt,NYG
4,Cooper Kupp,LAR,WR,$51,320.7,$50,,,,,,,,,,,100,Marvin Mims Jr.,DEN
5,CeeDee Lamb,DAL,WR,$44,299.6,$43,,,,,,,,,,,101,Robbie Chosen,MIA
6,Stefon Diggs,BUF,WR,$42,313.8,$41,,,,,,,,,,,102,Terrace Marshall Jr.,CAR
7,Davante Adams,LV,WR,$41,303.9,$40,,,,,,,,,,,103,Sterling Shepard,NYG
8,Amon-Ra St. Brown,DET,WR,$36,304.6,$35,,,,,,,,,,,104,Trey Palmer,TB
9,A.J. Brown,PHI,WR,$33,281.8,$32,,,,,,,,,,,105,Tutu Atwell,LAR
10,Jaylen Waddle,MIA,WR,$29,266.4,$28,,,,,,,,,,,106,Tank Dell,HOU
11,Garrett Wilson,NYJ,WR,$27,259.8,$26,,,,,,,,,,,107,Josh Downs,IND
12,Tee Higgins,CIN,WR,$25,249.6,$24,,,,,,,,,,,108,Richie James Jr.,KC
13,DeVonta Smith,PHI,WR,$24,254.5,$23,,,,,,,,,,,109,Cedric Tillman,CLE
14,Chris Olave,NO,WR,$24,258.2,$23,,,,,,,,,,,110,Isaiah McKenzie,IND
15,Amari Cooper,CLE,WR,$23,223.2,$22,,,,,,,,,,,111,Braxton Berrios,MIA
16,Keenan Allen,LAC,WR,$23,240.1,$22,,,,,,,,,,,112,Amari Rodgers,IND
17,DK Metcalf,SEA,WR,$23,240,$22,,,,,,,,,,,113,Laviska Shenault Jr.,CAR
18,Deebo Samuel,SF,WR,$22,237.4,$21,,,,,,,,,,,114,Quez Watkins,PHI
19,Calvin Ridley,JAC,WR,$21,227.4,$20,,,,,,,,,,,115,Chris Moore,TEN
20,Chris Godwin,TB,WR,$20,235.1,$19,,,,,,,,,,,116,Jauan Jennings,SF
21,Jerry Jeudy,DEN,WR,$19,248.8,$18,,,,,,,,,,,117,Demarcus Robinson,LAR
22,Christian Watson,GB,WR,$19,245.2,$18,,,,,,,,,,,118,Kalif Raymond,DET
23,Christian Kirk,JAC,WR,$17,234.6,$16,,,,,,,,,,,1,Travis Kelce,KC
24,Terry McLaurin,WAS,WR,$17,237.2,$16,,,,,,,,,,,2,Mark Andrews,BAL
25,DeAndre Hopkins,TEN,WR,$17,249.1,$16,,,,,,,,,,,3,T.J. Hockenson,MIN
26,Mike Williams,LAC,WR,$16,219.6,$15,,,,,,,,,,,4,Darren Waller,NYG
27,Mike Evans,TB,WR,$16,218.9,$15,,,,,,,,,,,5,George Kittle,SF
28,Drake London,ATL,WR,$13,230.9,$12,,,,,,,,,,,6,Kyle Pitts,ATL
29,Marquise Brown,ARI,WR,$13,221.7,$12,,,,,,,,,,,7,Dallas Goedert,PHI
30,D.J. Moore,CHI,WR,$12,224.4,$11,,,,,,,,,,,8,Evan Engram,JAC
31,Diontae Johnson,PIT,WR,$12,239.2,$11,,,,,,,,,,,9,Pat Freiermuth,PIT
32,Tyler Lockett,SEA,WR,$12,225,$11,,,,,,,,,,,10,Tyler Higbee,LAR
33,Brandin Cooks,DAL,WR,$10,225.7,$9,,,,,,,,,,,11,Dalton Schultz,HOU
34,Michael Pittman,IND,WR,$10,215.8,$9,,,,,,,,,,,12,David Njoku,CLE
35,Brandon Aiyuk,SF,WR,$10,205.3,$9,,,,,,,,,,,13,Chigoziem Okonkwo,TEN
36,Jahan Dotson,WAS,WR,$7,194.4,$6,,,,,,,,,,,14,Gerald Everett,LAC
37,George Pickens,PIT,WR,$6,189.4,$5,,,,,,,,,,,15,Cole Kmet,CHI
38,Jordan Addison,MIN,WR,$6,174.8,$5,,,,,,,,,,,16,Greg Dulcich,DEN
39,Gabriel Davis,BUF,WR,$6,175.1,$5,,,,,,,,,,,17,Dalton Kincaid,BUF
40,JuJu Smith-Schuster,NE,WR,$6,159.3,$5,,,,,,,,,,,18,Juwan Johnson,NO
41,Michael Thomas,NO,WR,$5,169,$4,,,,,,,,,,,19,Sam LaPorta,DET
42,Treylon Burks,TEN,WR,$5,205.6,$4,,,,,,,,,,,20,Irv Smith Jr.,CIN
43,Kadarius Toney,KC,WR,$4,111.2,$3,,,,,,,,,,,21,Hunter Henry,NE
44,Rondale Moore,ARI,WR,$3,169.8,$2,,,,,,,,,,,22,Hayden Hurst,CAR
45,Jakobi Meyers,LV,WR,$3,180.5,$2,,,,,,,,,,,23,Noah Fant,SEA
46,Jaxon Smith-Njigba,SEA,WR,$3,179.3,$2,,,,,,,,,,,24,Zach Ertz,ARI
47,Courtland Sutton,DEN,WR,$3,204.5,$2,,,,,,,,,,,25,Cade Otton,TB
48,Nico Collins,HOU,WR,$3,148.2,$2,,,,,,,,,,,26,Tyler Conklin,NYJ
49,Tyler Boyd,CIN,WR,$2,143.8,$1,,,,,,,,,,,27,Dawson Knox,BUF
50,Zay Jones,JAC,WR,$2,160,$1,,,,,,,,,,,28,Logan Thomas,WAS
51,Rashod Bateman,BAL,WR,$2,171.5,$1,,,,,,,,,,,29,Jelani Woods,IND
52,Zay Flowers,BAL,WR,$1,131.8,$0,,,,,,,,,,,30,Michael Mayer,LV
53,Adam Thielen,CAR,WR,$1,133.9,$0,,,,,,,,,,,31,Jake Ferguson,DAL
54,Allen Lazard,NYJ,WR,$1,163.8,$0,,,,,,,,,,,32,Mike Gesicki,NE
55,Hunter Renfrow,LV,WR,$1,132.6,$0,,,,,,,,,,,33,Luke Musgrave,GB
56,Romeo Doubs,GB,WR,$1,143.9,$0,,,,,,,,,,,34,Trey McBride,ARI
57,Darnell Mooney,CHI,WR,$1,149.7,$0,,,,,,,,,,,35,Taysom Hill,NO
58,Quentin Johnston,LAC,WR,$1,138.5,$0,,,,,,,,,,,,,
59,Marquez Valdes-Scantling,KC,WR,$1,126.1,$0,,,,,,,,,,,,,
60,Jonathan Mingo,CAR,WR,$1,118.5,$0,,,,,,,,,,,,,
61,DeVante Parker,NE,WR,$1,144.6,$0,,,,,,,,,,,,,
62,Curtis Samuel,WAS,WR,$1,142.6,$0,,,,,,,,,,,,,
63,Donovan Peoples-Jones,CLE,WR,$1,152.9,$0,,,,,,,,,,,,,
64,DJ Chark,CAR,WR,$1,137.6,$0,,,,,,,,,,,,,
65,Isaiah Hodgins,NYG,WR,$1,124.2,$0,,,,,,,,,,,,,
66,Jameson Williams,DET,WR,$1,104.6,$0,,,,,,,,,,,,,
67,Robert Woods,HOU,WR,$1,112.2,$0,,,,,,,,,,,,,
68,K.J. Osborn,MIN,WR,$1,131,$0,,,,,,,,,,,,,
69,Michael Gallup,DAL,WR,$1,111.7,$0,,,,,,,,,,,,,
70,Skyy Moore,KC,WR,$1,179.8,$0,,,,,,,,,,,,,
71,Van Jefferson,LAR,WR,$1,139,$0,,,,,,,,,,,,,
72,Russell Gage,TB,WR,$1,86.2,$0,,,,,,,,,,,,,
73,Elijah Moore,CLE,WR,$1,188.1,$0,,,,,,,,,,,,,
74,Greg Dortch,ARI,WR,$1,112,$0,,,,,,,,,,,,,
75,John Metchie,HOU,WR,$1,137.6,$0,,,,,,,,,,,,,
76,Jayden Reed,GB,WR,$1,157.2,$0,,,,,,,,,,,,,
77,Rashid Shaheed,NO,WR,$1,130.5,$0,,,,,,,,,,,,,
78,Odell Beckham,BAL,WR,$1,151.4,$0,,,,,,,,,,,,,
79,Darius Slayton,NYG,WR,$1,76.5,$0,,,,,,,,,,,,,
80,Allen Robinson,PIT,WR,$1,79.1,$0,,,,,,,,,,,,,
1,Travis Kelce,KC,TE,$49,314.7,$48,,,,,,,,,,,,,
2,Mark Andrews,BAL,TE,$24,243.3,$23,,,,,,,,,,,,,
3,T.J. Hockenson,MIN,TE,$23,209.1,$22,,,,,,,,,,,,,
4,George Kittle,SF,TE,$16,184.5,$15,,,,,,,,,,,,,
5,Dallas Goedert,PHI,TE,$13,161.6,$12,,,,,,,,,,,,,
6,Darren Waller,NYG,TE,$12,183.3,$11,,,,,,,,,,,,,
7,Kyle Pitts,ATL,TE,$11,176.4,$10,,,,,,,,,,,,,
8,Evan Engram,JAC,TE,$9,158.7,$8,,,,,,,,,,,,,
9,Pat Freiermuth,PIT,TE,$6,157.9,$6,,,,,,,,,,,,,
10,Dalton Schultz,HOU,TE,$5,157.6,$4,,,,,,,,,,,,,
11,David Njoku,CLE,TE,$2,152.5,$4,,,,,,,,,,,,,
12,Tyler Higbee,LAR,TE,$2,157.8,$4,,,,,,,,,,,,,
13,Greg Dulcich,DEN,TE,$2,150,$3,,,,,,,,,,,,,
14,Chigoziem Okonkwo,TEN,TE,$1,141,$3,,,,,,,,,,,,,
15,Gerald Everett,LAC,TE,$1,142.3,$2,,,,,,,,,,,,,
16,Cole Kmet,CHI,TE,$1,134,$1,,,,,,,,,,,,,
17,Juwan Johnson,NO,TE,$1,124.2,$0,,,,,,,,,,,,,
18,Dalton Kincaid,BUF,TE,$1,146.9,$0,,,,,,,,,,,,,
19,Irv Smith,CIN,TE,$1,125.2,$0,,,,,,,,,,,,,
20,Noah Fant,SEA,TE,$1,119.2,$0,,,,,,,,,,,,,
21,Hayden Hurst,CAR,TE,$1,108.7,$0,,,,,,,,,,,,,
22,Hunter Henry,NE,TE,$1,91.3,$0,,,,,,,,,,,,,
23,Tyler Conklin,NYJ,TE,$1,106.7,$0,,,,,,,,,,,,,
24,Cade Otton,TB,TE,$1,107,$0,,,,,,,,,,,,,
25,Sam LaPorta,DET,TE,$1,125.3,$0,,,,,,,,,,,,,
26,Zach Ertz,ARI,TE,$1,99.7,$0,,,,,,,,,,,,,
27,Dawson Knox,BUF,TE,$1,106.1,$0,,,,,,,,,,,,,
28,Logan Thomas,WAS,TE,$1,101.4,$0,,,,,,,,,,,,,
29,Jelani Woods,IND,TE,$1,106.1,$0,,,,,,,,,,,,,
30,Mike Gesicki,NE,TE,$1,117.8,$0,,,,,,,,,,,,,
