Rank,Player Name,Team,Position,Adjusted Value,Projected Points
1,Josh Allen,BUF,QB,40,369.4
2,Jalen Hurts,PHI,QB,38,370.3
3,Patrick Mahomes II,KC,QB,35,362.6
4,Lamar Jackson,BAL,QB,32,366.5
5,Anthony Richardson,IND,QB,29,339.2
6,C.J. Stroud,HOU,QB,26,321.9
7,Joe Burrow,CIN,QB,24,312.2
8,Dak Prescott,DAL,QB,21,320.7
9,Kyler Murray,ARI,QB,19,329.9
10,Jordan Love,GB,QB,17,310.1
11,Brock Purdy,SF,QB,15,314
12,Tua Tagovailoa,MIA,QB,13,292
13,Jayden Daniels,WAS,QB,12,311.5
14,Jared Goff,DET,QB,10,282.6
15,Caleb Williams,CHI,QB,9,300.3
16,Trevor Lawrence,JAC,QB,8,306.6
17,Justin Herbert,LAC,QB,6,291.9
18,Kirk Cousins,ATL,QB,5,291.1
19,Matthew Stafford,LAR,QB,5,251.9
20,Aaron Rodgers,NYJ,QB,4,289.4
21,Deshaun Watson,CLE,QB,3,300
22,Baker Mayfield,TB,QB,3,290.4
23,Geno Smith,SEA,QB,2,289.8
24,Will Levis,TEN,QB,2,227.7
25,Daniel Jones,NYG,QB,1,272.4
26,Derek Carr,NO,QB,1,237
27,Bryce Young,CAR,QB,1,220.3
28,Russell Wilson,PIT,QB,1,266.3
29,J.J. McCarthy,MIN,QB,1,273
30,Bo Nix,DEN,QB,1,247.1
31,Drake Maye,NE,QB,1,244.3
32,Justin Fields,PIT,QB,1,21.3
1,Christian McCaffrey,SF,RB,59,354.1
2,Bijan Robinson,ATL,RB,48,309.4
3,Breece Hall,NYJ,RB,52,307.9
4,Jahmyr Gibbs,DET,RB,40,257.7
6,Jonathan Taylor,IND,RB,30,247.5
5,Saquon Barkley,PHI,RB,35,260.3
7,Travis Etienne Jr.,JAC,RB,29,256.5
8,Kyren Williams,LAR,RB,28,236.6
9,Isiah Pacheco,KC,RB,27,241.7
10,De'Von Achane,MIA,RB,26,243.9
11,Rachaad White,TB,RB,24,242.8
12,Derrick Henry,BAL,RB,25,258.8
13,Alvin Kamara,NO,RB,21,246.2
14,James Cook,BUF,RB,19,227.2
15,Josh Jacobs,GB,RB,17,230
16,Joe Mixon,HOU,RB,16,244
17,Kenneth Walker III,SEA,RB,15,230
18,Aaron Jones,MIN,RB,13,236
19,Rhamondre Stevenson,NE,RB,12,197.9
20,James Conner,ARI,RB,11,193.6
21,David Montgomery,DET,RB,10,212.6
22,D'Andre Swift,CHI,RB,9,180.7
23,Zamir White,LV,RB,8,180.1
24,Jaylen Warren,PIT,RB,8,198
25,Najee Harris,PIT,RB,7,199.9
26,Tony Pollard,TEN,RB,6,199
27,Raheem Mostert,MIA,RB,6,167.3
28,Tyjae Spears,TEN,RB,5,189.5
29,Javonte Williams,DEN,RB,5,181.5
30,Zack Moss,CIN,RB,4,182.8
31,Brian Robinson Jr.,WAS,RB,4,197.6
32,Devin Singletary,NYG,RB,4,185.6
33,Austin Ekeler,WAS,RB,3,146.1
34,Jonathon Brooks,CAR,RB,3,191.6
35,Ezekiel Elliott,DAL,RB,3,176.9
36,Jerome Ford,CLE,RB,3,163.8
37,Nick Chubb,CLE,RB,3,128.6
38,Gus Edwards,LAC,RB,3,137.7
39,Chase Brown,CIN,RB,2,128.7
40,Zach Charbonnet,SEA,RB,2,157.6
41,Trey Benson,ARI,RB,2,142.8
42,Antonio Gibson,NE,RB,2,129
43,Chuba Hubbard,CAR,RB,2,114.7
44,Blake Corum,LAR,RB,2,143.9
45,Jaleel McLaughlin,DEN,RB,2,145.2
46,Kendre Miller,NO,RB,2,65
47,Rico Dowdle,DAL,RB,2,129
48,Ty Chandler,MIN,RB,2,130
49,Tyler Allgeier,ATL,RB,2,140.6
50,MarShawn Lloyd,GB,RB,2,106.4
1,Sam LaPorta,DET,TE,24,229.6
2,Travis Kelce,KC,TE,23,226.9
3,Trey McBride,ARI,TE,17,223
4,Mark Andrews,BAL,TE,14,221.4
5,Dalton Kincaid,BUF,TE,13,225.1
6,Evan Engram,JAC,TE,10,215.3
7,Kyle Pitts,ATL,TE,9,201.8
8,George Kittle,SF,TE,6,204.8
9,David Njoku,CLE,TE,4,185.7
10,Jake Ferguson,DAL,TE,3,176.2
11,Dallas Goedert,PHI,TE,2,149.7
12,Brock Bowers,LV,TE,2,166.4
13,Pat Freiermuth,PIT,TE,2,144.1
14,T.J. Hockenson,MIN,TE,2,108.9
15,Dalton Schultz,HOU,TE,1,137.9
16,Cole Kmet,CHI,TE,3,135.6
